
# Surface 0 of 1 surfaces

# Curve title: "'<paste bench/gmpadd bench/why3add' u 1:2:(($6-$3)/$3)"
# IsoCurve 0, 20 points
# x y z type
 20  1  0.435002 i
 20  2  0.567972 i
 20  3 -0.0400202 i
 20  4 -0.119605 i
 20  5  0.135875 i
 20  6  0.429496 i
 20  7  0.391411 i
 20  8  0.362627 i
 20  9  0.339726 i
 20  10  0.316798 i
 20  11  0.32486 i
 20  12  0.312492 i
 20  13  0.315732 i
 20  14  0.0832416 i
 20  15  0.2783 i
 20  16  0.284826 i
 20  17  0.26478 i
 20  18  0.276601 i
 20  19  0.272986 i
 20  20  0.293333 i

# IsoCurve 1, 19 points
# x y z type
 19  1  0.266491 i
 19  2  0.513208 i
 19  3  0.534937 i
 19  4  0.5012 i
 19  5  0.446913 i
 19  6  0.395331 i
 19  7  0.369249 i
 19  8  0.3287 i
 19  9  0.313803 i
 19  10  0.314399 i
 19  11  0.305799 i
 19  12  0.284803 i
 19  13  0.276216 i
 19  14  0.272408 i
 19  15  0.283471 i
 19  16  0.253814 i
 19  17  0.269792 i
 19  18  0.258807 i
 19  19  0.263942 i

# IsoCurve 2, 18 points
# x y z type
 18  1  0.37022 i
 18  2  0.56547 i
 18  3  0.478148 i
 18  4  0.457839 i
 18  5  0.420447 i
 18  6  0.369772 i
 18  7  0.34173 i
 18  8  0.0318472 i
 18  9  0.306182 i
 18  10  0.299585 i
 18  11  0.280044 i
 18  12  0.2704 i
 18  13  0.261099 i
 18  14  0.265318 i
 18  15  0.245823 i
 18  16  0.257249 i
 18  17  0.255296 i
 18  18 -0.278254 i

# IsoCurve 3, 17 points
# x y z type
 17  1  0.59879 i
 17  2  0.532671 i
 17  3  0.452982 i
 17  4  0.441081 i
 17  5  0.398769 i
 17  6  0.345167 i
 17  7  0.307204 i
 17  8  0.305168 i
 17  9  0.294122 i
 17  10  0.273183 i
 17  11  0.265944 i
 17  12  0.259955 i
 17  13 -0.040619 i
 17  14 -0.221146 i
 17  15  0.254347 i
 17  16  0.254872 i
 17  17  0.236991 i

# IsoCurve 4, 16 points
# x y z type
 16  1  0.574056 i
 16  2  0.495562 i
 16  3  0.421871 i
 16  4  0.292114 i
 16  5  0.36556 i
 16  6  0.321347 i
 16  7  0.297017 i
 16  8  0.281599 i
 16  9  0.262648 i
 16  10  0.248064 i
 16  11  0.240582 i
 16  12  0.249167 i
 16  13  0.224268 i
 16  14  0.233905 i
 16  15  0.239154 i
 16  16  0.0242192 i

# IsoCurve 5, 15 points
# x y z type
 15  1  0.528175 i
 15  2  0.462508 i
 15  3  0.386013 i
 15  4  0.377001 i
 15  5  0.340067 i
 15  6  0.300022 i
 15  7  0.296475 i
 15  8  0.252771 i
 15  9  0.239743 i
 15  10  0.235472 i
 15  11  0.226119 i
 15  12  0.20737 i
 15  13  0.224428 i
 15  14  0.227356 i
 15  15  0.221384 i

# IsoCurve 6, 14 points
# x y z type
 14  1  0.481769 i
 14  2  0.416757 i
 14  3  0.381852 i
 14  4  0.345682 i
 14  5  0.128094 i
 14  6  0.297753 i
 14  7  0.255588 i
 14  8  0.230169 i
 14  9  0.219229 i
 14  10  0.21627 i
 14  11  0.195629 i
 14  12  0.20318 i
 14  13  0.217663 i
 14  14  0.203146 i

# IsoCurve 7, 13 points
# x y z type
 13  1 -0.124603 i
 13  2  0.219091 i
 13  3  0.328391 i
 13  4  0.339637 i
 13  5  0.313885 i
 13  6  0.277916 i
 13  7  0.223082 i
 13  8  0.215331 i
 13  9  0.199919 i
 13  10  0.177232 i
 13  11  0.184377 i
 13  12  0.205483 i
 13  13  0.18868 i

# IsoCurve 8, 12 points
# x y z type
 12  1  0.45277 i
 12  2  0.338877 i
 12  3  0.319631 i
 12  4  0.341905 i
 12  5  0.286992 i
 12  6  0.239396 i
 12  7  0.211062 i
 12  8 -0.265525 i
 12  9 -0.349595 i
 12  10 -0.347678 i
 12  11 -0.337061 i
 12  12 -0.346593 i

# IsoCurve 9, 11 points
# x y z type
 11  1  0.352901 i
 11  2  0.313658 i
 11  3  0.318854 i
 11  4  0.311794 i
 11  5  0.25925 i
 11  6  0.403624 i
 11  7  0.945853 i
 11  8  0.147409 i
 11  9  0.135494 i
 11  10  0.157775 i
 11  11  0.139684 i

# IsoCurve 10, 10 points
# x y z type
 10  1  0.405703 i
 10  2  0.34413 i
 10  3  0.301255 i
 10  4  0.280407 i
 10  5  0.222756 i
 10  6  0.201652 i
 10  7  0.158012 i
 10  8 -0.142227 i
 10  9  0.123144 i
 10  10  0.119592 i

# IsoCurve 11, 9 points
# x y z type
 9  1  0.357074 i
 9  2  0.356821 i
 9  3  0.272511 i
 9  4  0.239318 i
 9  5  0.208416 i
 9  6  0.166687 i
 9  7  0.110759 i
 9  8  0.09851 i
 9  9  0.0977743 i

# IsoCurve 12, 8 points
# x y z type
 8  1  0.354571 i
 8  2  0.37017 i
 8  3  0.239769 i
 8  4  0.229935 i
 8  5  0.171211 i
 8  6  0.0893538 i
 8  7  0.0881704 i
 8  8  0.0640669 i

# IsoCurve 13, 7 points
# x y z type
 7  1  0.320307 i
 7  2  0.318866 i
 7  3  0.23132 i
 7  4  0.0799754 i
 7  5 -0.374594 i
 7  6 -0.384849 i
 7  7 -0.138107 i

# IsoCurve 14, 6 points
# x y z type
 6  1  0.313724 i
 6  2  0.31873 i
 6  3  0.171364 i
 6  4  0.106023 i
 6  5  0.0914963 i
 6  6  0.0173714 i

# IsoCurve 15, 5 points
# x y z type
 5  1  0.328631 i
 5  2  0.153249 i
 5  3  0.0267213 i
 5  4  0.0615996 i
 5  5  0.0229879 i

# IsoCurve 16, 4 points
# x y z type
 4  1  0.259377 i
 4  2  0.0344756 i
 4  3  0.0486255 i
 4  4  0.0268827 i

# IsoCurve 17, 3 points
# x y z type
 3  1 -0.0145513 i
 3  2  0.0353099 i
 3  3  0.0331873 i

# IsoCurve 18, 2 points
# x y z type
