
# Surface 0 of 1 surfaces

# Curve title: "'<paste bench/gmpdiv bench/why3div' u 1:2:(($6-$3)/$3)"
# IsoCurve 0, 20 points
# x y z type
 20  1  0.452692 i
 20  2  0.104552 i
 20  3  0.0756431 i
 20  4  0.390917 i
 20  5  0.177151 i
 20  6  0.0785794 i
 20  7  0.0760417 i
 20  8  0.145448 i
 20  9  0.0687188 i
 20  10  0.0815995 i
 20  11  0.320113 i
 20  12  0.05556 i
 20  13 -0.171581 i
 20  14 -0.0592686 i
 20  15  0.0212744 i
 20  16  0.109248 i
 20  17  0.130985 i
 20  18  0.191553 i
 20  19  0.705954 i
 20  20  1.42283 i

# IsoCurve 1, 19 points
# x y z type
 19  1  0.449868 i
 19  2  0.107249 i
 19  3  0.0555838 i
 19  4  0.0802034 i
 19  5  0.486978 i
 19  6  0.0812097 i
 19  7  0.0753681 i
 19  8  0.076639 i
 19  9  0.145178 i
 19  10  0.0648852 i
 19  11 -0.0144786 i
 19  12 -0.00372537 i
 19  13  0.0077595 i
 19  14  0.0164366 i
 19  15  0.0350437 i
 19  16  0.138977 i
 19  17  0.19026 i
 19  18  0.302911 i
 19  19  0.713076 i

# IsoCurve 2, 18 points
# x y z type
 18  1  0.47948 i
 18  2  0.133097 i
 18  3  0.0885822 i
 18  4  0.284964 i
 18  5  0.102973 i
 18  6  0.102747 i
 18  7  0.104963 i
 18  8  0.184057 i
 18  9  0.0971819 i
 18  10  0.00679103 i
 18  11 -0.0241567 i
 18  12  0.350054 i
 18  13 -0.00763909 i
 18  14  0.012841 i
 18  15  0.0414458 i
 18  16  0.178536 i
 18  17  0.299306 i
 18  18  0.750735 i

# IsoCurve 3, 17 points
# x y z type
 17  1  0.507924 i
 17  2  0.142705 i
 17  3  0.0967858 i
 17  4  0.105394 i
 17  5  0.135783 i
 17  6  0.111527 i
 17  7  0.116886 i
 17  8  0.113558 i
 17  9  0.292379 i
 17  10  0.118024 i
 17  11 -0.00383335 i
 17  12  0.00314784 i
 17  13  0.0229885 i
 17  14  0.176349 i
 17  15  0.0885488 i
 17  16  0.318567 i
 17  17  0.785253 i

# IsoCurve 4, 16 points
# x y z type
 16  1  0.52612 i
 16  2  0.173287 i
 16  3  0.100242 i
 16  4  0.434333 i
 16  5  0.151838 i
 16  6  0.117607 i
 16  7  0.132642 i
 16  8  0.12765 i
 16  9  0.105281 i
 16  10  0.00516311 i
 16  11 -0.00204618 i
 16  12  0.0325752 i
 16  13  0.0466522 i
 16  14  0.303881 i
 16  15  0.585779 i
 16  16  0.834105 i

# IsoCurve 5, 15 points
# x y z type
 15  1  1.24625 i
 15  2  0.525312 i
 15  3  0.355135 i
 15  4  0.124285 i
 15  5  0.13522 i
 15  6  0.175289 i
 15  7  0.137616 i
 15  8  0.104631 i
 15  9 -0.00891674 i
 15  10 -0.000370817 i
 15  11  0.0154851 i
 15  12  0.199715 i
 15  13  0.0623424 i
 15  14  0.193771 i
 15  15  0.618868 i

# IsoCurve 6, 14 points
# x y z type
 14  1  0.712004 i
 14  2  0.169035 i
 14  3  0.120129 i
 14  4  0.130759 i
 14  5  0.148282 i
 14  6  0.131901 i
 14  7  0.219344 i
 14  8  0.183764 i
 14  9 -0.013644 i
 14  10 -0.00625728 i
 14  11  0.0387789 i
 14  12  0.0734493 i
 14  13  0.159525 i
 14  14  0.524609 i

# IsoCurve 7, 13 points
# x y z type
 13  1  0.552111 i
 13  2  0.1693 i
 13  3  0.129614 i
