
# Surface 0 of 1 surfaces

# Curve title: "'<paste bench/gmpmul bench/why3mul' u 1:2:(($6-$3)/$3)"
# IsoCurve 0, 20 points
# x y z type
 20  1  0.181614 i
 20  2  0.0670661 i
 20  3  0.0353024 i
 20  4  0.021099 i
 20  5  0.00931577 i
 20  6  0.0110062 i
 20  7 -0.00541238 i
 20  8 -0.00260935 i
 20  9 -0.0116799 i
 20  10 -0.0524698 i
 20  11 -0.0127878 i
 20  12  0.0111248 i
 20  13  0.0901185 i
 20  14 -0.0211803 i
 20  15 -0.0154561 i
 20  16  0.0979952 i
 20  17 -0.0620029 i
 20  18 -0.0363012 i
 20  19 -0.0261876 i
 20  20  0.0112357 i

# IsoCurve 1, 19 points
# x y z type
 19  1  0.18047 i
 19  2  0.0669878 i
 19  3  0.0379287 i
 19  4  0.147925 i
 19  5 -0.191275 i
 19  6  0.0227332 i
 19  7  0.00046315 i
 19  8 -0.00251121 i
 19  9 -0.00477377 i
 19  10 -0.00319688 i
 19  11 -0.0634322 i
 19  12 -0.158544 i
 19  13 -0.015514 i
 19  14 -0.0492043 i
 19  15 -0.0156426 i
 19  16  0.0142764 i
 19  17 -0.0304142 i
 19  18  0.0675934 i
 19  19 -0.0289465 i

# IsoCurve 2, 18 points
# x y z type
 18  1  0.183271 i
 18  2  0.068865 i
 18  3  0.03722 i
 18  4  0.017766 i
 18  5  0.00956097 i
 18  6  0.00078617 i
 18  7 -0.248273 i
 18  8 -0.00740103 i
 18  9 -0.0158811 i
 18  10 -0.0162251 i
 18  11  0.0358798 i
 18  12 -0.249569 i
 18  13 -0.192439 i
 18  14 -0.049564 i
 18  15 -0.00997257 i
 18  16 -0.0237972 i
 18  17 -0.0254988 i
 18  18 -0.0225676 i

# IsoCurve 3, 17 points
# x y z type
 17  1  0.184474 i
 17  2  0.0719674 i
 17  3  0.0245567 i
 17  4  0.020854 i
 17  5  0.010466 i
 17  6  0.00161245 i
 17  7  0.00980374 i
 17  8  0.00545048 i
 17  9 -0.358169 i
 17  10 -0.0172047 i
 17  11  0.11694 i
 17  12  0.0670544 i
 17  13 -0.0135974 i
 17  14 -0.018927 i
 17  15  0.0141988 i
 17  16  0.0723546 i
 17  17  0.0352704 i

# IsoCurve 4, 16 points
# x y z type
 16  1  0.187521 i
 16  2  0.0731023 i
 16  3 -0.00939888 i
 16  4 -0.108079 i
 16  5  0.0111641 i
 16  6  0.00301824 i
 16  7  0.0183376 i
 16  8 -0.0020627 i
 16  9 -0.00524618 i
 16  10 -0.0059892 i
 16  11  0.134873 i
 16  12 -0.057913 i
 16  13 -0.0134075 i
 16  14 -0.014158 i
 16  15 -0.112684 i
 16  16 -0.0137773 i

# IsoCurve 5, 15 points
# x y z type
 15  1  0.180626 i
 15  2  0.248457 i
 15  3  0.135568 i
 15  4  0.0232053 i
 15  5  0.0106105 i
 15  6  0.00295304 i
 15  7 -0.132562 i
 15  8 -0.217423 i
 15  9 -0.007433 i
 15  10 -0.0115605 i
 15  11 -0.0619396 i
 15  12 -0.0110609 i
 15  13 -0.0136074 i
 15  14 -0.269278 i
 15  15  0.156575 i

# IsoCurve 6, 14 points
# x y z type
 14  1  0.78949 i
 14  2  0.673916 i
 14  3  0.0876098 i
 14  4  0.0310871 i
 14  5  0.0166056 i
 14  6  0.00719443 i
 14  7  0.00251403 i
 14  8  0.00928109 i
 14  9 -0.00355341 i
 14  10 -0.0075509 i
 14  11 -0.137451 i
 14  12  0.174241 i
 14  13  0.0278397 i
 14  14  0.147509 i

# IsoCurve 7, 13 points
# x y z type
 13  1  0.252145 i
 13  2  0.107821 i
 13  3  0.0584531 i
 13  4  0.0489018 i
 13  5  0.0202867 i
 13  6  0.0110713 i
 13  7  0.00733829 i
 13  8 -0.0877164 i
 13  9  0.00616538 i
 13  10  0.0591082 i
 13  11 -0.00813897 i
 13  12 -0.188497 i
 13  13 -0.159228 i

# IsoCurve 8, 12 points
# x y z type
 12  1  0.236781 i
 12  2  0.102857 i
 12  3  0.0610895 i
 12  4  0.0402512 i
 12  5  0.0242 i
 12  6  0.0127609 i
 12  7 -0.0978935 i
 12  8  0.00313337 i
 12  9  0.0833271 i
 12  10 -0.0037166 i
 12  11 -0.00807138 i
 12  12 -0.0105014 i

# IsoCurve 9, 11 points
# x y z type
 11  1  0.259494 i
 11  2  0.120136 i
 11  3  0.0705446 i
 11  4  0.046256 i
 11  5  0.105142 i
 11  6  0.0155236 i
 11  7  0.0101484 i
 11  8  0.00345491 i
 11  9 -0.0898769 i
 11  10 -0.000879408 i
 11  11 -0.0147359 i

# IsoCurve 10, 10 points
# x y z type
 10  1  0.252638 i
 10  2  0.103429 i
 10  3  0.0656239 i
 10  4  0.041322 i
 10  5  0.0252787 i
 10  6  0.233221 i
 10  7  0.411202 i
 10  8  0.00456573 i
 10  9 -0.00419951 i
 10  10 -0.108177 i

# IsoCurve 11, 9 points
# x y z type
 9  1  0.2139 i
 9  2  0.0919237 i
 9  3  0.0506153 i
 9  4  0.0377217 i
 9  5  0.228325 i
 9  6  0.0133414 i
 9  7  0.0052788 i
 9  8 -0.000551446 i
 9  9 -0.184688 i

# IsoCurve 12, 8 points
# x y z type
 8  1  0.127896 i
 8  2  0.0728206 i
 8  3  0.0434297 i
 8  4  0.0231454 i
 8  5  0.0193417 i
 8  6  0.0171824 i
 8  7  0.579245 i
 8  8  0.117014 i

# IsoCurve 13, 7 points
# x y z type
 7  1  0.132219 i
 7  2  0.0665731 i
 7  3  0.0539214 i
 7  4  0.0348328 i
 7  5  0.0201466 i
 7  6  0.0353448 i
 7  7 -0.00450537 i

# IsoCurve 14, 6 points
# x y z type
 6  1 -0.256642 i
 6  2 -0.35588 i
 6  3 -0.366621 i
 6  4 -0.364861 i
 6  5 -0.373807 i
 6  6 -0.280993 i

# IsoCurve 15, 5 points
# x y z type
 5  1  0.128455 i
 5  2  0.0408705 i
 5  3  0.0298471 i
 5  4  0.0222625 i
 5  5 -0.00101893 i

# IsoCurve 16, 4 points
# x y z type
 4  1  0.0678135 i
 4  2  0.0301986 i
 4  3  0.0284941 i
 4  4 -0.024977 i

# IsoCurve 17, 3 points
# x y z type
 3  1  0.0693759 i
 3  2  0.00953906 i
 3  3 -0.0675038 i

# IsoCurve 18, 2 points
# x y z type
 2  1  0.117459 i
 2  2 -0.0304815 i

